"Statistic Label","Quarter","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","State","Thousand","2118"
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Northern and Western","Thousand","431"
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Southern","Thousand","1038"
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Eastern and Midland","Thousand","649"
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","State","Thousand","930"
"Number of Trips by Irish Residents","2018Q1","Holiday","Northern and Western","Thousand","222"
"Number of Trips by Irish Residents","2018Q1","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","Southern","Thousand","488"
"Number of Trips by Irish Residents","2018Q1","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","Eastern and Midland","Thousand","220"
"Number of Trips by Irish Residents","2018Q1","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","State","Thousand","143"
"Number of Trips by Irish Residents","2018Q1","Business","Northern and Western","Thousand","29"
"Number of Trips by Irish Residents","2018Q1","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","Southern","Thousand","55"
"Number of Trips by Irish Residents","2018Q1","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","Eastern and Midland","Thousand","59"
"Number of Trips by Irish Residents","2018Q1","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","State","Thousand","794"
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Northern and Western","Thousand","148"
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Southern","Thousand","408"
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Eastern and Midland","Thousand","238"
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","State","Thousand","250"
"Number of Trips by Irish Residents","2018Q1","Other reasons","Northern and Western","Thousand","32"
"Number of Trips by Irish Residents","2018Q1","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","Southern","Thousand","87"
"Number of Trips by Irish Residents","2018Q1","Other reasons","Mid-West","Thousand",""
