"STATISTIC Label","Quarter","Region Visited","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","State","Euro Million","336"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Northern and Western","Euro Million","74"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Border","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Southern","Euro Million","172"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Mid-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","South-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","South-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Eastern and Midland","Euro Million","90"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Dublin","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Mid-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q1","Midland","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","State","Euro Million","496"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Northern and Western","Euro Million","134"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Border","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Southern","Euro Million","206"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Mid-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","South-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","South-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Eastern and Midland","Euro Million","156"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Dublin","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Mid-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q2","Midland","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","State","Euro Million","728"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Northern and Western","Euro Million","198"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Border","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Southern","Euro Million","386"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Mid-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","South-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","South-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Eastern and Midland","Euro Million","144"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Dublin","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Mid-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q3","Midland","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","State","Euro Million","446"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Northern and Western","Euro Million","111"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Border","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Southern","Euro Million","181"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Mid-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","South-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","South-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Eastern and Midland","Euro Million","154"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Dublin","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Mid-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2018Q4","Midland","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","State","Euro Million","362"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Northern and Western","Euro Million","89"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Border","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Southern","Euro Million","156"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Mid-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","South-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","South-West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Eastern and Midland","Euro Million","118"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Dublin","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Mid-East","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q1","Midland","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q2","State","Euro Million","502"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q2","Northern and Western","Euro Million","150"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q2","Border","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q2","West","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2019Q2","Southern","Euro Million","246"
